secs,pps,tps,gps
0,504324,181903,24035
5,513592,185498,24478
10,500129,180670,23836
15,500708,180732,23863
20,488175,176502,23268
25,484327,175210,23086
30,480888,173905,22922
35,480846,173945,22920
40,477660,172757,22768
45,475325,171892,22656
50,475295,171824,22655
55,472170,170552,22505
60,471492,170291,22473
65,470048,169718,22403
70,468935,169297,22350
75,466980,168570,22257
80,465665,168121,22194
85,464405,167637,22134
90,462814,167069,22058
95,460983,166388,21971
100,460390,166179,21943
105,461084,166416,21976
110,460031,166053,21926
115,459513,165850,21901
120,459608,165879,21906
125,458752,165539,21865
130,458241,165363,21841
135,456652,164786,21765
140,456248,164634,21746
145,456400,164682,21753
150,455605,164377,21715
155,454539,164006,21664
160,453757,163698,21627
165,453656,163663,21622
170,452878,163355,21585
175,452782,163300,21580
180,452623,163254,21573
185,452695,163280,21576
190,452071,163059,21547
195,451238,162738,21507
200,450592,162499,21476
205,449792,162209,21438
210,449133,161987,21407
215,448756,161848,21389
220,448939,161920,21398
225,448625,161821,21383
230,448076,161634,21357
235,447646,161482,21336
240,448096,161630,21358
245,447554,161414,21332
250,447178,161281,21314
255,447195,161300,21315
260,446699,161110,21291
265,446060,160891,21261
270,445899,160823,21253
275,445493,160678,21233
280,445415,160658,21230
285,444938,160492,21207
290,444448,160319,21184
295,443998,160158,21162
300,443682,160043,21147
305,443301,159896,21129
310,443176,159847,21123
315,442466,159606,21089
320,442132,159482,21073
325,441948,159406,21064
330,441881,159386,21061
335,441856,159376,21060
340,441558,159270,21046
345,441270,159164,21032
350,441338,159190,21035
355,441314,159174,21034
360,441052,159082,21022
365,440836,158996,21011
370,440961,159037,21017
375,440656,158924,21003
380,440503,158865,20995
385,440230,158769,20982
390,440167,158749,20979
395,440010,158686,20972
400,439869,158640,20965
405,439694,158564,20957
410,439869,158622,20965
415,439753,158579,20959
420,439680,158558,20956
425,439707,158564,20957
430,439508,158495,20947
435,439284,158423,20937
440,439134,158368,20930
445,438887,158288,20918
450,438914,158288,20919
455,439055,158340,20926
460,438855,158262,20916
465,438781,158244,20912
470,438576,158170,20903
475,438501,158140,20899
480,438421,158100,20895
485,438402,158088,20894
490,438381,158079,20893
495,438291,158037,20888
500,438520,158112,20899
505,438385,158062,20893
510,438333,158042,20890
515,438557,158115,20901
520,438694,158168,20907
525,438786,158202,20911
530,438693,158167,20907
535,438746,158188,20909
540,438823,158223,20913
545,438875,158238,20916
550,438978,158280,20920
555,439004,158290,20922
560,438875,158239,20915
565,438786,158209,20911
570,438959,158273,20919
575,438857,158236,20914
580,438701,158186,20907
585,438588,158138,20901
590,438523,158114,20898
595,438374,158057,20891
600,438200,157993,20883
605,438134,157965,20880
610,438085,157943,20877
615,438011,157914,20874
620,437842,157856,20865
625,437892,157876,20868
630,438056,157938,20876
635,438008,157918,20873
640,437646,157791,20856
645,437589,157774,20853
650,437466,157728,20847
655,437442,157721,20846
660,437349,157687,20842
665,437282,157658,20838
670,437167,157617,20833
675,437037,157564,20827
680,436823,157486,20816
685,436706,157444,20811
690,436565,157391,20804
695,436340,157312,20793
700,436262,157281,20790
705,436203,157254,20787
710,435974,157174,20776
715,435663,157063,20761
720,435425,156983,20750
725,435339,156954,20745
730,435130,156881,20735
735,435214,156910,20739
740,435102,156880,20734
745,435156,156900,20737
750,435015,156847,20730
755,434873,156797,20723
760,435020,156851,20730
765,435051,156863,20732
770,435044,156861,20731
775,434615,156706,20711
780,434530,156673,20707
785,434503,156659,20706
790,434534,156674,20707
795,434448,156639,20703
800,434605,156693,20711
805,434593,156688,20710
810,434590,156681,20710
815,434588,156681,20710
820,434620,156687,20712
825,434638,156702,20712
830,434747,156741,20718
835,434689,156721,20715
840,434654,156711,20713
845,434672,156721,20714
850,434647,156715,20713
855,434792,156766,20720
860,434835,156779,20722
865,435012,156843,20731
870,434897,156803,20725
875,434796,156766,20720
880,434706,156736,20716
885,434561,156681,20709
890,434419,156630,20702
895,434257,156577,20695
900,434282,156585,20696
905,434299,156587,20697
910,434055,156502,20685
915,433957,156466,20681
920,433737,156385,20670
925,433546,156318,20661
930,433401,156268,20654
935,433310,156234,20650
940,433240,156208,20647
945,433167,156182,20643
950,433072,156147,20639
955,433029,156130,20637
960,432982,156116,20634
965,432950,156104,20633
970,432723,156025,20622
975,432710,156019,20622
980,432624,155987,20617
985,432504,155940,20612
990,432458,155926,20610
