secs,pps,tps,gps
0,102433,36744,4841
5,147046,52640,6948
10,146952,52542,6944
15,148837,53278,7033
20,147555,52873,6973
25,148656,53183,7024
30,148897,53258,7036
35,149196,53336,7049
40,148389,53047,7011
45,146579,52345,6925
50,145995,52159,6898
55,145435,51979,6872
60,145522,51988,6876
65,145254,51883,6863
70,145148,51853,6858
75,144943,51769,6848
80,144911,51780,6847
85,145044,51822,6853
90,144703,51710,6837
95,144391,51620,6822
100,144365,51590,6821
105,143730,51367,6791
110,143667,51362,6788
115,143718,51384,6791
120,143598,51344,6785
125,143501,51305,6780
130,143329,51242,6772
135,143590,51307,6784
140,143525,51288,6781
145,143320,51221,6772
150,143161,51155,6764
155,142946,51071,6754
160,142946,51058,6754
165,143007,51075,6757
170,143125,51113,6762
175,142928,51048,6753
180,143073,51105,6760
185,142865,51050,6750
190,142816,51047,6748
195,142822,51061,6748
200,142849,51058,6749
205,142782,51026,6746
210,142544,50952,6735
215,142447,50921,6730
220,142257,50853,6721
225,142019,50770,6710
230,141936,50743,6706
235,141703,50663,6695
240,141750,50667,6697
245,141569,50615,6689
250,141569,50610,6689
255,141503,50592,6686
260,141366,50549,6679
265,141289,50523,6676
270,141192,50490,6671
275,141215,50499,6672
280,141080,50445,6666
285,140897,50383,6657
290,140819,50354,6654
295,140609,50278,6644
300,140542,50259,6640
305,140479,50238,6638
310,140360,50197,6632
315,140400,50215,6634
320,140267,50176,6628
325,140240,50166,6626
330,140165,50146,6623
335,140059,50112,6618
340,140008,50093,6615
345,140024,50098,6616
350,139948,50069,6613
355,139871,50039,6609
360,139845,50034,6608
365,139947,50068,6613
370,139899,50051,6610
375,139832,50027,6607
380,139937,50062,6612
385,139926,50057,6612
390,139893,50045,6610
395,139758,50002,6604
400,139735,49994,6603
405,139714,49985,6602
410,139712,49976,6601
415,139613,49939,6597
420,139583,49928,6595
425,139502,49897,6591
430,139396,49865,6587
435,139435,49877,6588
440,139462,49881,6590
445,139531,49905,6593
450,139539,49910,6594
455,139594,49929,6596
460,139989,50066,6615
465,139913,50043,6611
470,139979,50067,6615
475,139960,50064,6614
480,139926,50052,6612
485,139802,50006,6606
490,139795,50004,6606
495,139728,49979,6603
500,139691,49967,6601
505,139696,49969,6602
510,139639,49947,6599
515,139786,50001,6606
520,139739,49987,6604
525,139732,49983,6604
530,139671,49963,6601
535,139666,49962,6601
540,139562,49927,6596
545,139601,49944,6598
550,139608,49948,6598
555,139509,49914,6593
560,139470,49898,6591
565,139363,49861,6586
570,139316,49846,6584
575,139313,49845,6584
580,139280,49833,6583
585,139292,49834,6583
590,139197,49801,6579
595,139150,49785,6577
600,139138,49782,6576
605,139060,49757,6572
610,139051,49750,6572
615,139013,49739,6570
620,138965,49724,6568
625,138991,49731,6569
630,138964,49724,6568
635,138945,49715,6567
640,138940,49713,6567
645,138815,49670,6561
650,138785,49659,6560
655,138745,49648,6558
660,138726,49642,6557
665,138723,49640,6557
670,138637,49611,6553
675,138642,49611,6553
680,138648,49614,6553
685,138656,49618,6554
690,138613,49603,6552
695,138550,49582,6549
700,138532,49577,6548
705,138475,49558,6545
710,138423,49539,6543
715,138362,49518,6540
720,138355,49516,6540
725,138361,49521,6540
730,138319,49506,6538
735,138301,49500,6537
740,138243,49476,6535
745,138242,49476,6535
750,138305,49500,6538
755,138292,49498,6537
760,138326,49509,6539
765,138261,49485,6536
770,138205,49465,6533
775,138175,49452,6532
780,138151,49443,6530
785,138117,49430,6529
790,138180,49453,6532
795,138215,49466,6534
800,138212,49467,6533
805,138162,49448,6531
810,138142,49442,6530
815,138173,49454,6532
820,138165,49451,6531
825,138167,49451,6531
830,138167,49449,6531
835,138153,49442,6531
840,138089,49420,6528
845,138084,49417,6527
850,138097,49421,6528
855,138082,49416,6527
860,138083,49416,6527
865,138038,49401,6525
870,138011,49391,6524
875,137967,49377,6522
880,137939,49369,6521
885,137968,49379,6522
890,137967,49380,6522
895,137954,49376,6521
900,137968,49382,6522
905,137972,49385,6522
910,137973,49383,6522
915,137949,49375,6521
920,137925,49367,6520
925,137877,49349,6518
930,137861,49344,6517
935,137826,49333,6515
940,137773,49315,6513
945,137776,49317,6513
950,137805,49324,6514
955,137828,49330,6515
960,137842,49333,6516
965,137800,49318,6514
970,137824,49326,6515
975,137827,49327,6515
980,137798,49317,6514
985,137797,49317,6514
990,137817,49324,6515
