secs,pps,tps,gps
0,162364,50095,7658
5,165245,50886,7793
10,166865,51393,7870
15,169055,51957,7972
20,168558,51808,7949
25,169390,52083,7988
30,169898,52266,8013
35,169619,52168,7999
40,170243,52377,8029
45,169790,52238,8007
50,169726,52219,8004
55,169160,52032,7978
60,169280,52063,7983
65,169371,52098,7988
70,169133,52055,7977
75,169186,52089,7979
80,169439,52159,7991
85,169638,52214,8001
90,169633,52199,8000
95,170037,52309,8019
100,170158,52359,8025
105,170505,52460,8041
110,170572,52499,8045
115,170297,52430,8032
120,170205,52389,8027
125,170154,52366,8025
130,170220,52364,8028
135,170120,52344,8023
140,170052,52316,8020
145,170154,52349,8025
150,170116,52334,8023
155,170094,52323,8022
160,170072,52322,8021
165,170051,52301,8020
170,170077,52305,8021
175,169966,52282,8016
180,169842,52252,8010
185,169848,52252,8010
190,169655,52188,8001
195,169612,52176,7999
200,169521,52151,7995
205,169444,52119,7991
210,169415,52107,7990
215,169364,52100,7987
220,169250,52076,7982
225,169315,52100,7985
230,169235,52079,7982
235,169161,52060,7978
240,169189,52073,7980
245,169190,52067,7980
250,169253,52082,7983
255,169300,52106,7985
260,169301,52107,7985
265,169238,52089,7983
270,169161,52068,7979
275,169141,52052,7978
280,169055,52019,7974
285,169139,52034,7978
290,169059,52014,7974
295,168983,51985,7971
300,168980,51986,7971
305,168979,51985,7971
310,169000,51995,7972
315,168998,51998,7972
320,168960,51982,7970
325,168990,51980,7971
330,168961,51972,7970
335,168945,51963,7969
340,168934,51957,7969
345,168891,51949,7967
350,168783,51920,7962
355,168742,51907,7960
360,168718,51902,7959
365,168667,51885,7957
370,168585,51866,7953
375,168498,51844,7949
380,168420,51827,7945
385,168444,51832,7946
390,168420,51825,7945
395,168386,51821,7944
400,168342,51805,7942
405,168268,51788,7938
410,168216,51773,7936
415,168171,51764,7934
420,168106,51746,7931
425,168112,51745,7931
430,168185,51765,7935
435,168163,51759,7934
440,168134,51750,7932
445,168140,51754,7933
450,168073,51738,7930
455,168048,51732,7928
460,168055,51734,7929
465,168039,51730,7928
470,168006,51719,7927
475,168049,51728,7929
480,168067,51730,7930
485,168022,51720,7928
490,168044,51728,7929
495,168061,51737,7930
500,168012,51721,7927
505,168008,51717,7927
510,168033,51728,7928
515,168005,51719,7927
520,167967,51706,7925
525,167938,51699,7924
530,167897,51685,7922
535,167880,51681,7921
540,167883,51682,7922
545,167918,51694,7923
550,167856,51682,7920
555,167863,51682,7921
560,167818,51668,7919
565,167817,51669,7919
570,167820,51671,7919
575,167841,51677,7920
580,167849,51683,7920
585,167864,51690,7921
590,167855,51688,7921
595,167856,51693,7921
600,167822,51680,7919
605,167832,51680,7920
610,167836,51685,7920
615,167843,51689,7920
620,167874,51700,7922
625,167906,51710,7923
630,167870,51703,7922
635,167874,51703,7922
640,167882,51701,7922
645,167917,51712,7924
650,167923,51712,7924
655,167872,51700,7922
660,167821,51685,7919
665,167825,51686,7920
670,167801,51679,7918
675,167795,51679,7918
680,167785,51678,7918
685,167786,51680,7918
690,167798,51684,7918
695,167817,51688,7919
700,167837,51694,7920
705,167840,51693,7920
710,167834,51691,7920
715,167809,51683,7919
720,167799,51678,7918
725,167772,51669,7917
730,167750,51660,7916
735,167758,51661,7916
740,167735,51655,7915
745,167718,51651,7914
750,167706,51646,7914
755,167698,51641,7913
760,167675,51634,7912
765,167657,51627,7911
770,167647,51627,7911
775,167652,51626,7911
780,167657,51627,7911
785,167690,51640,7913
790,167651,51632,7911
795,167637,51626,7910
800,167660,51630,7911
805,167649,51625,7911
810,167683,51632,7912
815,167716,51644,7914
820,167709,51640,7913
825,167668,51628,7911
830,167657,51626,7911
835,167619,51615,7909
840,167572,51602,7907
845,167572,51601,7907
850,167593,51608,7908
855,167579,51603,7907
860,167596,51607,7908
865,167602,51609,7908
870,167601,51608,7908
875,167600,51608,7908
880,167585,51603,7907
885,167579,51600,7907
890,167582,51599,7907
895,167592,51598,7907
900,167566,51591,7906
905,167584,51594,7907
910,167582,51593,7907
915,167592,51595,7907
920,167592,51596,7907
925,167581,51593,7907
930,167559,51585,7906
935,167534,51579,7904
940,167515,51573,7903
945,167516,51573,7904
950,167511,51569,7903
955,167502,51562,7903
960,167493,51559,7902
965,167498,51559,7902
970,167473,51552,7901
975,167471,51551,7901
980,167468,51551,7901
985,167487,51557,7902
990,167527,51570,7904
