secs,pps,tps,gps
0,177370,54547,8353
5,173021,53129,8149
10,172875,53029,8142
15,172440,52899,8121
20,172021,52721,8101
25,172001,52711,8100
30,172138,52729,8107
35,171468,52578,8075
40,171164,52520,8061
45,171346,52526,8069
50,170819,52367,8044
55,170507,52266,8030
60,170647,52289,8036
65,170318,52188,8020
70,169942,52096,8003
75,169881,52091,8000
80,170052,52124,8008
85,169998,52101,8006
90,170204,52173,8015
95,170364,52228,8023
100,170268,52188,8018
105,170249,52182,8018
110,170427,52233,8026
115,170226,52175,8017
120,170227,52184,8017
125,170265,52195,8019
130,170015,52113,8007
135,170080,52139,8011
140,169982,52110,8006
145,170050,52135,8009
150,170084,52131,8011
155,170039,52114,8009
160,170096,52131,8012
165,170102,52124,8012
170,170060,52132,8010
175,169933,52090,8004
180,169884,52080,8002
185,169889,52083,8002
190,169877,52083,8002
195,169711,52036,7994
200,169745,52056,7996
205,169797,52080,7998
210,169678,52047,7993
215,169531,52006,7986
220,169514,52002,7985
225,169490,51989,7984
230,169338,51942,7977
235,169480,51986,7983
240,169606,52027,7989
245,169432,51981,7981
250,169500,52002,7984
255,169474,52001,7983
260,169573,52035,7988
265,169568,52034,7988
270,169536,52027,7986
275,169597,52041,7989
280,169512,52018,7985
285,169437,51995,7982
290,169360,51972,7978
295,169393,51980,7980
300,169343,51966,7977
305,169226,51936,7972
310,169219,51932,7971
315,169120,51904,7967
320,169075,51895,7965
325,169093,51905,7966
330,169044,51897,7963
335,168971,51877,7960
340,168960,51873,7959
345,168994,51886,7961
350,169043,51902,7963
355,169138,51933,7968
360,169202,51948,7971
365,169166,51933,7969
370,169133,51924,7968
375,169128,51922,7967
380,169104,51915,7966
385,169018,51891,7962
390,168931,51867,7958
395,168895,51856,7956
400,168820,51833,7953
405,168744,51813,7949
410,168759,51816,7950
415,168830,51837,7953
420,168865,51852,7955
425,168844,51848,7954
430,168910,51867,7957
435,168964,51882,7960
440,169026,51903,7963
445,169031,51900,7963
450,169005,51896,7962
455,169042,51903,7963
460,169030,51899,7963
465,169026,51896,7963
470,169010,51890,7962
475,168985,51887,7961
480,168991,51888,7961
485,168957,51879,7959
490,168925,51871,7958
495,168900,51863,7957
500,168887,51860,7956
505,168926,51870,7958
510,168912,51868,7957
515,168905,51866,7957
520,168923,51869,7958
525,168884,51857,7956
530,168839,51841,7954
535,168808,51830,7952
540,168865,51847,7955
545,168896,51858,7957
550,168928,51867,7958
555,168956,51875,7959
560,168908,51861,7957
565,168890,51855,7956
570,168861,51848,7955
575,168804,51831,7952
580,168814,51834,7953
585,168797,51828,7952
590,168782,51823,7951
595,168766,51819,7950
600,168731,51809,7949
605,168703,51802,7948
610,168666,51791,7946
615,168644,51782,7945
620,168639,51781,7945
625,168644,51780,7945
630,168654,51784,7945
635,168645,51782,7945
640,168636,51781,7944
645,168668,51789,7946
650,168645,51783,7945
655,168652,51782,7945
660,168666,51786,7946
665,168651,51780,7945
670,168696,51792,7947
675,168659,51778,7945
680,168692,51790,7947
685,168691,51794,7947
690,168662,51786,7946
695,168703,51798,7948
700,168729,51807,7949
705,168720,51804,7948
710,168701,51800,7947
715,168662,51788,7946
720,168653,51787,7945
725,168639,51784,7945
730,168612,51776,7943
735,168627,51782,7944
740,168629,51783,7944
745,168594,51774,7942
750,168573,51767,7941
755,168563,51765,7941
760,168551,51763,7940
765,168593,51774,7942
770,168591,51775,7942
775,168574,51772,7941
780,168560,51765,7941
785,168540,51761,7940
790,168521,51752,7939
795,168517,51752,7939
800,168514,51749,7939
805,168513,51749,7939
810,168487,51742,7937
815,168468,51734,7936
820,168491,51743,7938
825,168504,51748,7938
830,168471,51739,7937
835,168464,51736,7936
840,168434,51729,7935
845,168471,51739,7937
850,168460,51734,7936
855,168454,51733,7936
860,168483,51743,7937
865,168524,51754,7939
870,168572,51768,7941
875,168583,51770,7942
880,168596,51774,7943
885,168576,51767,7942
890,168593,51773,7942
895,168614,51779,7943
900,168615,51781,7943
905,168582,51774,7942
910,168589,51778,7942
915,168601,51783,7943
920,168635,51790,7945
925,168605,51781,7943
930,168610,51782,7943
935,168601,51782,7943
940,168594,51782,7943
945,168611,51785,7944
950,168607,51784,7943
955,168592,51783,7943
960,168565,51774,7942
965,168545,51770,7941
970,168538,51767,7940
975,168534,51768,7940
980,168548,51774,7941
985,168571,51784,7942
990,168580,51786,7943
