secs,pps,tps
1540,2521655,2187381
1545,2522034,2187170
1550,2522091,2186873
1555,2522249,2186573
1560,2522263,2186001
1565,2522777,2186402
1570,2523179,2186134
1575,2523256,2185533
1580,2523635,2185584
1585,2524157,2185430
1590,2524571,2185515
1595,2524682,2185194
1600,2524785,2184962
1605,2525159,2185019
1610,2525400,2184492
1615,2525679,2184237
1620,2526068,2184314
1625,2526284,2184087
1630,2526413,2184122
1635,2526838,2183914
1640,2526999,2183660
1645,2527543,2183701
1650,2527859,2183496
1655,2527917,2183248
1660,2528510,2183339
1665,2528514,2182822
1670,2528707,2182837
1675,2528858,2182678
1680,2529506,2182426
1685,2529823,2182465
1690,2530141,2182283
1695,2530499,2182361
1700,2530927,2182416
1705,2531119,2181909
1710,2531403,2181929
1715,2531670,2181715
1720,2532056,2181521
1725,2532380,2181580
1730,2532748,2181679
1735,2532995,2181458
1740,2533161,2181253
1745,2533182,2180708
1750,2533718,2181091
1755,2533755,2180565
1760,2534026,2180674
1765,2534359,2180456
1770,2534577,2180225
1775,2534903,2180302
1780,2535298,2180145
1785,2535518,2179922
1790,2535894,2180047
1795,2535797,2179507
1800,2535900,2179271
1805,2535971,2178588
1810,2535967,2178059
1815,2536273,2178134
1820,2536648,2177980
1825,2536907,2177729
1830,2537207,2177614
1835,2537420,2177693
1840,2537471,2177223
1845,2537790,2177033
1850,2537705,2176812
1855,2537903,2176601
1860,2538148,2176714
1865,2538525,2176503
1870,2538563,2176034
1875,2538805,2176148
1880,2539026,2175965
1885,2539241,2175779
1890,2539530,2175860
1895,2539561,2175673
1900,2539925,2175743
1905,2540166,2175585
1910,2540374,2175402
1915,2540601,2175436
1920,2541022,2175286
1925,2541479,2175443
1930,2541599,2175464
1935,2541771,2175062
1940,2541682,2174633
1945,2541758,2174694
1950,2541889,2174263
1955,2542121,2174116
1960,2542357,2174167
1965,2542619,2173975
1970,2542745,2174082
1975,2543105,2173903
1980,2543330,2173758
1985,2543666,2173827
1990,2543854,2173654
1995,2543936,2173464
2000,2544197,2173545
2005,2544421,2173405
2010,2544758,2173481
2015,2544850,2173305
2020,2545065,2173162
2025,2545110,2172947
2030,2545410,2172809
2035,2545609,2172916
2040,2545774,2172737
2045,2545771,2172301
2050,2545920,2172368
2055,2546192,2172284
2060,2546280,2172116
2065,2546747,2172175
2070,2546960,2172046
2075,2547053,2172069
2080,2547382,2171971
2085,2547335,2171510
2090,2547549,2171889
2095,2547806,2171483
2100,2548029,2171801
2105,2548416,2171623
2110,2548430,2171223
2115,2548523,2171104
2120,2548706,2171142
2125,2548697,2170795
2130,2548919,2170620
2135,2549171,2170719
2140,2549173,2170564
2145,2549247,2170403
2150,2549291,2170284
2155,2549591,2170116
2160,2549892,2170195
2165,2550106,2170023
2170,2550404,2170168
2175,2550580,2169967
2180,2550836,2169836
2185,2551186,2170135
2190,2551146,2169578
2195,2551374,2169667
2200,2551445,2169515
2205,2551509,2169120
2210,2551729,2169204
2215,2551649,2169058
2220,2551903,2168935
2225,2551656,2168542
2230,2551273,2167992
2235,2551187,2167778
2240,2550903,2167250
2245,2550460,2166821
2250,2550209,2166258
2255,2549825,2165817
2260,2549480,2165241
2265,2549418,2164947
2270,2549499,2164985
2275,2549454,2164645
2280,2549315,2164455
2285,2549167,2163924
2290,2549408,2164036
2295,2549135,2163695
2300,2549192,2163322
2305,2549429,2163432
2310,2549469,2163275
2315,2549640,2163167
2320,2549813,2163061
2325,2549983,2162953
2330,2549928,2162780
2335,2549534,2162240
2340,2549446,2162102
2345,2549151,2161296
2350,2549182,2161199
2355,2549161,2160836
2360,2549101,2160501
2365,2548948,2160372
2370,2548748,2159820
2375,2548600,2159696
2380,2548592,2159410
2385,2548655,2159504
2390,2548440,2158945
