secs,pps,tps,gps,glst,bpc
0,1295447,126364,6775,1613,0.00119
2,1062447,257112,6728,2939,0.00359
4,1342894,380476,6582,4076,0.00722
6,1467399,464694,6561,5323,0.0111
8,1318754,628516,6633,6692,0.0136
10,1379111,748778,6678,7845,0.0163
12,1577739,883511,6711,10047,0.0223
14,1524631,987112,6623,11638,0.0254
16,1472971,1116069,6620,12505,0.0279
18,1459782,1226045,6593,13374,0.0308
20,1425905,1336398,6575,14223,0.0334
22,1371251,1484741,6601,15373,0.0354
24,1317799,1622376,6635,16342,0.037
26,1290206,1757268,6654,17699,0.039
28,1309916,1882993,6638,18682,0.0412
30,1283359,1994209,6624,19102,0.0445
32,1316080,2104435,6610,19758,0.0481
34,1351641,2235661,6616,20796,0.0528
36,1361013,2373940,6642,22626,0.0561
38,1349461,2527256,6666,23593,0.0585
40,1325169,2655229,6660,24719,0.0607
42,1306583,2794066,6681,25701,0.063
44,1302188,2931771,6698,27104,0.0656
46,1322241,3067208,6708,28324,0.069
48,1320991,3195808,6703,29558,0.0714
50,1346098,3325459,6701,31362,0.0764
52,1336717,3464658,6717,32260,0.0791
54,1316310,3578823,6712,33970,0.0809
56,1297251,3703486,6700,35205,0.0827
58,1292351,3816425,6694,36266,0.085
60,1276535,3947102,6693,37234,0.0868
62,1272369,4100925,6707,37892,0.0894
64,1253016,4238793,6717,39208,0.0911
66,1249206,4399260,6739,40056,0.0931
68,1234628,4510748,6730,41108,0.0952
70,1224438,4626507,6728,41598,0.0969
72,1233216,4782225,6741,42425,0.1
74,1245435,4937224,6752,43593,0.104
76,1226462,5095598,6767,44416,0.106
78,1220016,5214636,6769,45457,0.107
80,1249706,5343974,6764,46737,0.113
82,1254264,5480473,6769,48070,0.116
84,1245567,5639637,6783,49597,0.118
86,1250106,5780100,6791,50427,0.121
88,1239347,5900475,6794,51501,0.123
90,1249593,6074191,6806,52151,0.125
92,1265987,6214794,6814,53301,0.131
94,1260443,6350551,6816,54520,0.134
96,1256069,6467801,6815,55393,0.136
