secs,pps,tps,gps,glst,bpc
0,1485476,102644,7483,92,0.00163
2,1179556,220325,6972,365,0.004
4,1011852,354889,6908,778,0.00557
6,1276435,542444,7191,1184,0.00969
8,1240318,705200,7254,1495,0.0119
10,1200133,848143,7263,1778,0.0146
12,1188733,982225,7207,1531,0.0172
14,1238233,1104061,7187,1852,0.019
16,1312765,1236483,7142,2185,0.0237
18,1433963,1405076,7213,2446,0.0294
20,1532943,1547075,7217,3168,0.0344
22,1514457,1713310,7259,3258,0.0378
24,1446197,1827145,7210,3684,0.0393
26,1570693,1996077,7255,3278,0.0454
28,1518525,2143069,7273,3537,0.0477
30,1467666,2289153,7286,3679,0.0492
32,1427032,2424850,7267,3790,0.0509
34,1446918,2559574,7247,3942,0.0547
36,1455837,2749384,7292,4040,0.0578
38,1489377,2917348,7317,4454,0.063
40,1548184,3064734,7328,5060,0.0681
42,1528940,3196448,7302,5279,0.0711
44,1509706,3308756,7270,6428,0.0735
46,1505828,3436452,7240,6738,0.076
48,1497341,3583943,7253,7237,0.0794
50,1516501,3727829,7257,7218,0.0835
52,1514099,3891851,7270,7975,0.0858
54,1510242,4001334,7239,8719,0.0896
56,1502838,4167652,7255,8956,0.0926
58,1488925,4351103,7273,8719,0.095
60,1483186,4503749,7290,9143,0.0978
62,1464156,4644632,7288,9109,0.0997
64,1443026,4810349,7299,9299,0.101
66,1437491,4975393,7309,9457,0.104
68,1428677,5115323,7306,9511,0.107
70,1435618,5232987,7293,9458,0.11
72,1468043,5360222,7273,10395,0.115
74,1475574,5475016,7258,10632,0.119
76,1479370,5656123,7268,10787,0.123
78,1467073,5804322,7276,11330,0.125
80,1476443,5949526,7281,11736,0.129
82,1485175,6076916,7263,12461,0.133
84,1485469,6223600,7269,12562,0.136
86,1477686,6366450,7271,12658,0.139
88,1475611,6533198,7281,12492,0.142
90,1466616,6668186,7274,12576,0.144
92,1468837,6815018,7279,12622,0.147
94,1466521,6981369,7289,12823,0.15
96,1458884,7152344,7302,12808,0.153
