secs,pps,tps,gps,glst,bpc
0,1673455,127102,7586,598,0.00205
2,2098098,306017,7930,1119,0.00687
4,1755338,507353,8133,1873,0.00997
6,1835510,655082,8006,2787,0.0141
8,1667097,790615,7803,3646,0.0167
10,1839892,973455,7784,658,0.0222
12,1856421,1122459,7766,2043,0.0259
14,1804903,1269180,7735,3094,0.0295
16,1745255,1437931,7738,4229,0.032
18,1862480,1624407,7744,5772,0.0384
20,1817788,1746358,7688,6486,0.0416
22,1974813,1911629,7681,7431,0.048
24,1979268,2064583,7691,8788,0.054
26,1929709,2219704,7650,9404,0.0574
28,1873908,2333201,7587,10059,0.0594
30,1846860,2467051,7543,10606,0.0629
32,1810734,2601390,7505,11794,0.0655
34,1805703,2791496,7534,12649,0.0694
36,1799919,2942257,7543,13591,0.0729
38,1774062,3088488,7540,14527,0.0759
40,1774139,3217746,7498,15503,0.0797
42,1796224,3351554,7469,16557,0.0849
44,1785676,3503864,7483,17260,0.088
46,1817182,3686588,7490,18387,0.092
48,1800505,3832705,7490,19827,0.097
50,1765943,3969731,7472,21166,0.099
52,1757608,4139259,7485,22626,0.101
54,1817166,4289915,7493,23019,0.107
56,1809306,4426134,7476,24152,0.113
58,1778700,4559404,7455,25082,0.115
60,1760926,4704958,7454,26045,0.118
62,1754622,4888051,7462,27193,0.121
64,1737906,5062464,7480,28043,0.124
66,1726965,5203191,7472,28825,0.127
68,1710415,5355822,7481,30381,0.129
70,1707213,5550184,7503,976,0.13
72,1724920,5717624,7510,1884,0.135
74,1716591,5855606,7499,2619,0.139
76,1702810,6018022,7499,4057,0.141
78,1695638,6167680,7503,5161,0.144
80,1698864,6336343,7511,6241,0.148
82,1704148,6471695,7498,7356,0.153
84,1690013,6645600,7511,8281,0.155
86,1680136,6791961,7510,9399,0.157
88,1686132,6972219,7512,10288,0.162
90,1672500,7087319,7496,11199,0.164
92,1661108,7252024,7498,12436,0.167
94,1655167,7377145,7493,13486,0.169
96,1648762,7554549,7492,15151,0.173
