secs,pps,tps,gps
0,112454,44632,5351
2,104100,40795,4952
4,110334,43329,5249
6,111831,43879,5320
8,111872,44104,5323
10,109712,43215,5220
12,111515,44016,5306
14,112057,44241,5332
16,112437,44360,5350
18,111052,43826,5284
20,112045,44213,5331
22,112593,44416,5357
24,113154,44708,5384
26,112555,44446,5356
28,112517,44425,5354
30,112779,44544,5367
32,113132,44729,5384
34,112473,44473,5352
36,112799,44609,5368
38,113248,44824,5389
40,113410,44890,5397
42,113240,44800,5389
44,113015,44737,5379
46,113490,44894,5401
