secs,pps,tps,gps
0,237459,72855,11301
2,239604,73459,11404
4,238469,72960,11349
6,239026,73053,11374
8,238852,72863,11365
10,238501,72838,11349
12,238497,72786,11349
14,238865,72824,11366
16,238978,72853,11372
18,234303,71498,11150
20,234654,71628,11166
22,235127,71776,11189
24,235312,71855,11198
26,235471,71903,11206
28,234894,71707,11178
30,232971,71121,11087
32,233373,71285,11106
34,233528,71308,11114
36,233464,71282,11111
38,231947,70821,11039
40,231994,70845,11041
42,232373,70971,11060
44,232823,71124,11081
46,233281,71269,11104
