secs,pps,tps
0,2924113,2208669
5,2860870,2159965
10,2843347,2164225
15,2837219,2154965
20,2799737,2128635
25,2807174,2136189
30,2812908,2138063
35,2795214,2119225
40,2805308,2131799
45,2805093,2130150
50,2813217,2135237
55,2825133,2145670
60,2818957,2139893
65,2818924,2139002
70,2821256,2143572
75,2824950,2143889
80,2823613,2140651
85,2819755,2140080
90,2818502,2137103
95,2815659,2135729
100,2809009,2131351
105,2807182,2130618
110,2807846,2131761
115,2808821,2131984
120,2808483,2131251
125,2807599,2132146
130,2805444,2129980
135,2801843,2126755
140,2804012,2129823
145,2802575,2128255
150,2804336,2128345
155,2804751,2129942
160,2802980,2128179
165,2803737,2129166
170,2805621,2130993
175,2805733,2130709
180,2807511,2131724
185,2806418,2130541
190,2805416,2129444
195,2801864,2127720
200,2793733,2120460
205,2789539,2117553
210,2786819,2115773
215,2786286,2115066
220,2786557,2116177
225,2783117,2113221
230,2781955,2112039
235,2781400,2112439
240,2781656,2112357
245,2780577,2111779
250,2781430,2112686
255,2781835,2112738
260,2782464,2112962
265,2780181,2111931
270,2780835,2112175
275,2779394,2111761
280,2778757,2111007
285,2778662,2110238
290,2778630,2110879
295,2780505,2112084
300,2778334,2110609
305,2779330,2110674
310,2778995,2110199
315,2779033,2110432
320,2777235,2108831
325,2775403,2107211
330,2774661,2107234
335,2775787,2107510
340,2776553,2108291
345,2773961,2106479
350,2773803,2106536
355,2775332,2107895
360,2772952,2105862
365,2772697,2105837
370,2771595,2105158
375,2770544,2104154
380,2770382,2103849
385,2766440,2101304
390,2761039,2096615
395,2757156,2094098
400,2751395,2089414
405,2746686,2086240
410,2743803,2083838
415,2738531,2079593
420,2736812,2079026
425,2736479,2078292
430,2735276,2077498
435,2732099,2075176
440,2729387,2072745
445,2728779,2072406
450,2727864,2071251
455,2728358,2071766
460,2727912,2071554
465,2727855,2071358
470,2725721,2069835
475,2722130,2067189
480,2721122,2065986
485,2720981,2066275
490,2720514,2065773
495,2719265,2064929
500,2715051,2061790
505,2715252,2062061
510,2716698,2063295
515,2716593,2063075
520,2716355,2062752
525,2715644,2062564
530,2714795,2061518
535,2713765,2061078
540,2713138,2060460
545,2713023,2060477
550,2714131,2061444
555,2712764,2060255
560,2712895,2060227
565,2714166,2061546
570,2714594,2061518
575,2713323,2060635
580,2712037,2059731
585,2711660,2059090
590,2711477,2059275
595,2711513,2059398
600,2712104,2059518
605,2711416,2059087
610,2712230,2059596
615,2712844,2060169
620,2711827,2059478
625,2709320,2057213
630,2706708,2055499
635,2703620,2052993
640,2700584,2050741
645,2700679,2050700
650,2700217,2050434
655,2700581,2050607
660,2701598,2051285
665,2701725,2051670
670,2701439,2051145
675,2700382,2050416
680,2700654,2050717
685,2700821,2050742
690,2701612,2051439
695,2701818,2051497
700,2702230,2051527
705,2701804,2051472
710,2702087,2051404
715,2702876,2051736
720,2702685,2051858
725,2703012,2052081
730,2703886,2052482
735,2704808,2053460
740,2705297,2053920
745,2706103,2054450
750,2706676,2054696
755,2706052,2054124
760,2707170,2055245
765,2707806,2055474
770,2708872,2056209
775,2707764,2055772
780,2706544,2054740
785,2705862,2054126
790,2705820,2054005
795,2706143,2054004
800,2706351,2054410
805,2706350,2054324
810,2706466,2054427
815,2706668,2054498
820,2707582,2055283
825,2707887,2055281
830,2708505,2055835
835,2709154,2056414
840,2709930,2056781
845,2710977,2057510
850,2711924,2058476
855,2712329,2058712
860,2713129,2059098
865,2713344,2059492
870,2713332,2059257
875,2713962,2059520
880,2714116,2059863
885,2714444,2059894
890,2715241,2060732
895,2715265,2060531
900,2715657,2060618
905,2716227,2061279
910,2716955,2061771
915,2717263,2061939
920,2717872,2062482
925,2717229,2061898
930,2716663,2061392
935,2716139,2061059
940,2716293,2061105
945,2716201,2061105
950,2716638,2061515
955,2717461,2061947
960,2717516,2061787
965,2717923,2062307
970,2718171,2062298
975,2718491,2062483
980,2718812,2062802
985,2719250,2062943
990,2719458,2063177
