secs,pps,tps,gps
0,19541,10560,916
5,58035,31098,2719
10,56385,30402,2643
15,55660,29994,2609
20,54781,29600,2568
25,53629,29030,2514
30,52927,28672,2481
35,52518,28408,2462
40,52042,28123,2440
45,51839,28014,2430
50,51608,27892,2419
55,51229,27676,2401
60,50836,27463,2383
65,50520,27298,2368
70,50306,27181,2358
75,50296,27187,2358
80,50190,27131,2353
85,50168,27111,2352
90,50057,27032,2347
95,49993,27019,2344
100,49744,26880,2332
105,49640,26826,2327
110,49605,26794,2326
115,49633,26802,2327
120,49659,26818,2328
125,49654,26823,2328
130,49589,26810,2325
135,49509,26771,2321
140,49366,26688,2315
145,49336,26675,2313
150,49300,26662,2312
155,49263,26638,2310
160,49246,26623,2309
165,49214,26609,2308
170,49073,26533,2301
175,49027,26498,2299
180,48995,26484,2297
185,48955,26464,2296
190,48948,26465,2295
195,48939,26454,2295
200,48893,26444,2293
205,48905,26436,2293
210,48888,26429,2293
215,48852,26411,2291
220,48791,26376,2288
225,48759,26358,2287
230,48748,26355,2286
235,48747,26363,2286
240,48756,26370,2287
245,48754,26362,2286
250,48747,26357,2286
255,48732,26345,2285
260,48668,26311,2282
265,48640,26305,2281
270,48604,26290,2280
275,48561,26273,2278
280,48557,26274,2277
285,48564,26270,2278
290,48516,26244,2275
295,48467,26221,2273
300,48457,26212,2273
305,48441,26197,2272
310,48387,26169,2269
315,48359,26145,2268
320,48345,26141,2267
325,48339,26136,2267
330,48318,26128,2266
335,48319,26134,2266
340,48327,26141,2267
345,48320,26136,2266
350,48301,26128,2265
355,48283,26117,2265
360,48273,26114,2264
365,48257,26109,2263
370,48250,26103,2263
375,48229,26088,2262
380,48190,26071,2260
385,48182,26064,2260
390,48171,26059,2259
395,48160,26054,2259
400,48150,26052,2258
405,48141,26048,2258
410,48091,26022,2256
415,48075,26016,2255
420,48059,26010,2254
425,48068,26013,2255
430,48051,26004,2254
435,48039,25998,2253
440,48057,26007,2254
445,48050,25998,2254
450,48068,26008,2255
455,48037,25998,2253
460,48010,25989,2252
465,47994,25979,2251
470,47975,25969,2250
475,47962,25965,2250
480,47932,25956,2248
485,47944,25959,2249
490,47936,25958,2249
495,47934,25960,2249
500,47925,25954,2248
505,47925,25953,2248
510,47900,25940,2247
515,47879,25931,2246
520,47858,25921,2245
525,47805,25893,2243
530,47792,25887,2242
535,47762,25869,2240
540,47748,25865,2240
545,47748,25863,2240
550,47748,25862,2240
555,47770,25872,2241
560,47772,25873,2241
565,47765,25869,2241
570,47769,25871,2241
575,47776,25874,2241
580,47785,25877,2242
585,47770,25872,2241
590,47761,25865,2240
595,47753,25861,2240
600,47749,25862,2240
605,47739,25860,2239
610,47747,25862,2240
615,47744,25859,2240
620,47741,25858,2240
625,47735,25854,2239
630,47737,25853,2239
635,47729,25851,2239
640,47733,25852,2239
645,47730,25853,2239
650,47729,25850,2239
655,47722,25848,2239
660,47718,25845,2238
665,47697,25837,2237
670,47688,25832,2237
675,47677,25825,2237
680,47670,25826,2236
685,47675,25827,2236
690,47663,25823,2236
695,47666,25821,2236
700,47661,25818,2236
705,47649,25814,2235
710,47641,25812,2235
715,47627,25803,2234
720,47624,25803,2234
725,47635,25807,2235
730,47634,25803,2235
735,47649,25809,2235
740,47647,25807,2235
745,47637,25803,2235
750,47639,25801,2235
755,47633,25797,2234
760,47619,25788,2234
765,47603,25778,2233
770,47566,25758,2231
775,47536,25744,2230
780,47509,25728,2229
785,47495,25720,2228
790,47454,25698,2226
795,47438,25689,2225
800,47417,25674,2224
805,47385,25655,2223
810,47369,25647,2222
815,47344,25633,2221
820,47275,25597,2218
825,47262,25590,2217
830,47244,25581,2216
835,47220,25567,2215
840,47189,25550,2214
845,47171,25541,2213
850,47124,25511,2210
855,47105,25503,2210
860,47086,25493,2209
865,47080,25487,2208
870,47082,25487,2208
875,47069,25477,2208
880,47052,25468,2207
885,47011,25446,2205
890,47002,25441,2205
895,46983,25428,2204
900,46969,25421,2203
905,46962,25417,2203
910,46943,25405,2202
915,46935,25401,2201
920,46915,25388,2201
925,46881,25368,2199
930,46849,25350,2197
935,46833,25341,2197
940,46810,25327,2196
945,46793,25318,2195
950,46773,25308,2194
955,46763,25304,2193
960,46755,25300,2193
965,46748,25294,2193
970,46693,25265,2190
975,46673,25254,2189
980,46671,25251,2189
985,46662,25244,2189
990,46648,25236,2188
