secs,pps,tps,gps
0,22432,11320,1054
5,62452,31471,2933
10,59056,29438,2772
15,56938,28287,2672
20,55485,27520,2604
25,54850,27206,2574
30,54854,27189,2574
35,54440,26978,2555
40,54214,26864,2544
45,53691,26639,2520
50,53506,26519,2511
55,53325,26419,2502
60,52972,26247,2486
65,52679,26119,2472
70,52273,25924,2453
75,52201,25901,2450
80,52091,25861,2445
85,51991,25824,2440
90,52068,25868,2444
95,52065,25856,2443
100,51957,25832,2439
105,51968,25820,2439
110,51945,25820,2438
115,51945,25831,2438
120,51979,25836,2440
125,51907,25806,2436
130,51834,25790,2433
135,51833,25784,2433
140,51806,25776,2432
145,51897,25807,2436
150,51834,25780,2433
155,51879,25812,2435
160,51920,25844,2437
165,51892,25845,2436
170,51860,25826,2434
175,51775,25782,2430
180,51651,25709,2424
185,51717,25737,2428
190,51732,25744,2428
195,51723,25735,2428
200,51718,25745,2428
205,51731,25753,2428
210,51765,25768,2430
215,51767,25773,2430
220,51765,25777,2430
225,51778,25776,2430
230,51757,25761,2429
235,51756,25750,2429
240,51756,25749,2429
245,51747,25741,2429
250,51788,25760,2431
255,51747,25751,2429
260,51728,25742,2428
265,51683,25732,2426
270,51654,25720,2425
275,51642,25705,2424
280,51630,25703,2423
285,51652,25708,2424
290,51698,25723,2426
295,51727,25736,2428
300,51744,25739,2429
305,51727,25727,2428
310,51733,25737,2428
315,51708,25723,2427
320,51691,25722,2426
325,51718,25729,2427
330,51730,25735,2428
335,51697,25724,2426
340,51694,25721,2426
345,51749,25741,2429
350,51754,25746,2429
355,51787,25757,2430
360,51791,25761,2431
365,51809,25768,2431
370,51822,25772,2432
375,51836,25781,2433
380,51820,25772,2432
385,51804,25768,2431
390,51778,25757,2430
395,51755,25751,2429
400,51741,25746,2428
405,51721,25738,2427
410,51680,25723,2425
415,51666,25715,2425
420,51679,25721,2425
425,51679,25720,2425
430,51671,25716,2425
435,51675,25713,2425
440,51650,25697,2424
445,51648,25697,2424
450,51650,25697,2424
455,51643,25700,2424
460,51619,25687,2422
465,51609,25683,2422
470,51615,25688,2422
475,51610,25684,2422
480,51618,25689,2422
485,51608,25683,2422
490,51614,25688,2422
495,51640,25700,2423
500,51645,25702,2424
505,51646,25702,2424
510,51628,25694,2423
515,51620,25690,2423
520,51626,25694,2423
525,51646,25704,2424
530,51643,25701,2424
535,51662,25713,2425
540,51653,25713,2424
545,51645,25708,2424
550,51654,25715,2424
555,51674,25727,2425
560,51673,25724,2425
565,51691,25734,2426
570,51697,25738,2426
575,51700,25743,2426
580,51710,25745,2427
585,51701,25740,2426
590,51695,25739,2426
595,51696,25738,2426
600,51691,25735,2426
605,51684,25733,2426
610,51669,25723,2425
615,51683,25728,2426
620,51683,25726,2426
625,51696,25735,2426
630,51695,25734,2426
635,51700,25735,2426
640,51696,25734,2426
645,51712,25740,2427
650,51704,25734,2426
655,51694,25729,2426
660,51711,25736,2427
665,51717,25739,2427
670,51712,25736,2427
675,51715,25738,2427
680,51708,25735,2427
685,51711,25734,2427
690,51704,25733,2426
695,51709,25736,2427
700,51700,25731,2426
705,51690,25723,2426
710,51681,25721,2425
715,51660,25710,2424
720,51656,25708,2424
725,51654,25708,2424
730,51653,25706,2424
735,51640,25699,2423
740,51623,25688,2422
745,51606,25681,2422
750,51602,25679,2422
755,51602,25679,2421
760,51599,25678,2421
765,51618,25684,2422
770,51612,25683,2422
775,51610,25681,2422
780,51606,25681,2422
785,51605,25678,2422
790,51616,25684,2422
795,51620,25685,2422
800,51602,25676,2421
805,51583,25666,2421
810,51567,25659,2420
815,51565,25657,2420
820,51551,25651,2419
825,51545,25647,2419
830,51526,25639,2418
835,51520,25634,2418
840,51513,25632,2417
845,51493,25622,2416
850,51470,25610,2415
855,51456,25603,2414
860,51452,25599,2414
865,51442,25593,2414
870,51427,25583,2413
875,51412,25573,2412
880,51400,25566,2412
885,51380,25557,2411
890,51367,25551,2410
895,51359,25547,2410
900,51359,25545,2410
905,51340,25536,2409
910,51283,25505,2406
915,51255,25491,2405
920,51249,25488,2405
925,51235,25482,2404
930,51226,25476,2404
935,51208,25466,2403
940,51193,25456,2402
945,51171,25443,2401
950,51161,25437,2401
955,51148,25431,2400
960,51127,25420,2399
965,51115,25415,2398
970,51105,25410,2398
975,51086,25401,2397
980,51074,25394,2396
985,51068,25392,2396
990,51054,25385,2395
