secs,pps,tps,gps
0,151100,62271,7116
5,151223,61586,7117
10,147369,60010,6935
15,144326,58903,6793
20,142973,58346,6729
25,140996,57549,6636
30,139985,57124,6589
35,138098,56357,6500
40,136092,55488,6405
45,134975,54984,6352
50,133782,54489,6296
55,132696,54071,6245
60,132296,53950,6226
65,132198,53906,6221
70,131418,53606,6185
75,130746,53309,6153
80,129937,52994,6115
85,129621,52833,6100
90,129114,52610,6076
95,128349,52314,6040
100,127564,51984,6003
105,127104,51783,5982
110,126730,51618,5964
115,126320,51459,5944
120,125929,51303,5926
125,125614,51160,5911
130,125498,51125,5905
135,125499,51126,5905
140,125621,51175,5911
145,125498,51131,5905
150,125431,51094,5902
155,125220,51014,5892
160,125146,50985,5888
165,124996,50916,5881
170,124965,50902,5879
175,125066,50948,5884
180,125174,50978,5889
185,125245,50997,5892
190,125225,50992,5891
195,125186,50981,5889
200,125048,50930,5882
205,124873,50853,5874
210,124733,50801,5867
215,124605,50756,5861
220,124446,50667,5853
225,124251,50592,5844
230,124264,50585,5845
235,124195,50563,5841
240,124038,50498,5834
245,123962,50468,5830
250,123839,50429,5824
255,123696,50377,5818
260,123424,50255,5805
265,123265,50188,5797
270,123098,50119,5789
275,122972,50071,5783
280,122670,49955,5769
285,122434,49861,5758
290,122200,49771,5747
295,121963,49667,5735
300,121853,49617,5730
305,121723,49563,5724
310,121678,49544,5722
315,121625,49520,5719
320,121603,49512,5718
325,121543,49485,5715
330,121472,49456,5712
335,121427,49439,5709
340,121380,49420,5707
345,121272,49381,5702
350,121210,49359,5699
355,121169,49334,5697
360,121204,49346,5698
365,121191,49341,5698
370,121232,49356,5700
375,121255,49364,5701
380,121306,49377,5703
385,121285,49370,5702
390,121297,49378,5702
395,121312,49381,5703
400,121361,49397,5705
405,121396,49411,5707
410,121411,49419,5707
415,121374,49397,5705
420,121332,49374,5703
425,121317,49368,5702
430,121279,49346,5701
435,121253,49338,5699
440,121281,49347,5700
445,121328,49363,5703
450,121402,49393,5706
455,121397,49389,5706
460,121410,49401,5706
465,121408,49400,5706
470,121459,49418,5708
475,121486,49426,5710
480,121470,49423,5709
485,121487,49429,5710
490,121475,49425,5709
495,121530,49448,5711
500,121520,49446,5711
505,121604,49477,5715
510,121611,49480,5715
515,121557,49462,5713
520,121521,49444,5711
525,121543,49453,5712
530,121557,49460,5712
535,121559,49464,5712
540,121512,49447,5710
545,121479,49433,5709
550,121510,49442,5710
555,121465,49423,5708
560,121372,49380,5703
565,121338,49363,5702
570,121187,49303,5695
575,121191,49304,5695
580,121181,49301,5694
585,121104,49266,5690
590,121002,49227,5686
595,120976,49215,5684
600,120957,49211,5683
605,120904,49191,5681
610,120782,49139,5675
615,120748,49125,5673
620,120747,49123,5673
625,120667,49095,5670
630,120638,49082,5668
635,120590,49058,5666
640,120494,49018,5661
645,120415,48985,5658
650,120316,48950,5653
655,120254,48926,5650
660,120201,48900,5647
665,120187,48892,5647
670,120162,48882,5645
675,120115,48863,5643
680,120019,48825,5639
685,119931,48789,5634
690,119774,48725,5627
695,119619,48659,5620
700,119583,48644,5618
705,119424,48577,5610
710,119389,48565,5609
715,119343,48549,5607
720,119349,48554,5607
725,119349,48554,5607
730,119355,48557,5607
735,119307,48537,5605
740,119316,48541,5605
745,119310,48540,5605
750,119254,48516,5602
755,119111,48460,5596
760,119090,48454,5594
765,119034,48430,5592
770,118879,48369,5585
775,118827,48348,5582
780,118752,48320,5579
785,118713,48303,5577
790,118664,48282,5574
795,118639,48272,5573
800,118616,48266,5572
805,118601,48259,5571
810,118587,48252,5571
815,118577,48250,5570
820,118545,48238,5569
825,118560,48241,5569
830,118548,48235,5569
835,118519,48222,5567
840,118481,48207,5565
845,118459,48198,5564
850,118378,48165,5560
855,118339,48149,5559
860,118258,48116,5555
865,118207,48096,5552
870,118203,48096,5552
875,118210,48097,5552
880,118213,48099,5553
885,118223,48101,5553
890,118228,48102,5553
895,118188,48086,5551
900,118159,48075,5550
905,118123,48060,5548
910,118104,48052,5547
915,118065,48036,5545
920,118030,48021,5544
925,118033,48022,5544
930,118042,48025,5544
935,118017,48014,5543
940,117988,48004,5542
945,118001,48010,5542
950,118003,48011,5542
955,117972,47999,5541
960,117970,47999,5541
965,117965,47997,5540
970,117948,47992,5539
975,117926,47984,5538
980,117938,47988,5539
985,117923,47983,5538
990,117901,47973,5537
