secs,pps,tps
0,3156993,2415262
5,3175939,2429929
10,3155480,2418654
15,3143503,2411605
20,3082892,2366087
25,3050453,2339700
30,3029003,2329717
35,2999022,2303250
40,2979268,2286884
45,2967930,2278544
50,2961242,2273729
55,2943920,2260631
60,2926325,2247278
65,2909244,2233343
70,2902187,2228131
75,2899440,2225408
80,2887933,2216755
85,2874851,2207579
90,2870000,2202600
95,2866381,2200011
100,2866303,2200139
105,2859766,2195850
110,2851118,2188713
115,2848103,2185975
120,2841925,2180819
125,2838021,2177963
130,2836225,2177212
135,2837437,2177803
140,2835692,2176133
145,2833457,2174545
150,2832800,2174161
155,2831424,2172807
160,2829402,2170968
165,2826631,2168959
170,2825464,2168559
175,2827867,2169787
180,2829321,2171035
185,2830365,2171608
190,2829879,2172022
195,2831842,2172976
200,2828160,2170548
205,2824850,2167769
210,2823999,2166893
215,2820958,2164936
220,2817377,2161967
225,2816967,2161737
230,2816163,2161195
235,2815606,2160598
240,2815935,2160666
245,2816087,2161396
250,2815531,2160520
255,2814678,2159937
260,2812958,2158436
265,2812164,2158044
270,2812539,2158164
275,2810887,2157433
280,2809497,2155958
285,2809350,2155913
290,2808193,2155087
295,2807919,2154940
300,2807926,2154792
305,2807441,2154480
310,2807846,2154854
315,2806700,2154028
320,2804729,2152562
325,2805232,2152606
330,2803810,2151765
335,2803186,2151533
340,2800784,2149347
345,2799568,2148650
350,2799345,2148526
355,2796645,2146305
360,2797189,2146777
365,2794736,2145084
370,2793270,2143820
375,2792895,2143576
380,2793396,2143840
385,2793372,2143865
390,2792570,2143460
395,2791178,2142098
400,2790471,2141760
405,2789937,2141390
410,2789545,2140969
415,2789414,2141067
420,2789404,2140942
425,2789837,2141318
430,2788760,2140679
435,2788441,2140320
440,2789380,2140934
445,2787695,2139815
450,2787089,2139093
455,2785761,2138392
460,2784824,2137266
465,2783626,2136515
470,2782927,2136010
475,2783160,2135951
480,2781579,2134630
485,2781755,2134804
490,2782019,2135044
495,2780983,2134410
500,2780159,2133677
505,2780354,2133864
510,2780295,2133851
515,2779003,2132761
520,2778142,2132254
525,2777959,2132020
530,2777983,2132072
535,2777249,2131488
540,2777056,2131372
545,2776852,2131365
550,2775953,2130524
555,2775152,2129816
560,2774509,2129352
565,2774001,2128990
570,2773393,2128665
575,2772719,2128058
580,2771996,2127303
585,2772219,2127619
590,2772074,2127536
595,2772635,2127780
600,2772090,2127497
605,2771652,2127187
610,2771574,2127154
615,2771197,2126784
620,2770273,2125991
625,2768754,2124950
630,2769003,2125067
635,2768985,2125161
640,2768745,2124898
645,2768795,2125066
650,2768768,2124971
655,2769388,2125378
660,2769199,2125256
665,2768876,2124836
670,2768528,2124791
675,2768518,2124809
680,2768678,2124766
685,2768401,2124578
690,2768166,2124329
695,2767770,2124093
700,2767424,2123757
705,2767355,2123824
710,2766800,2123327
715,2766549,2123160
720,2766064,2122718
725,2766283,2122820
730,2766274,2123106
735,2766019,2122665
740,2765215,2122067
745,2765031,2121949
750,2765013,2121873
755,2765222,2122319
760,2764399,2121447
765,2763094,2120375
770,2762075,2119611
775,2761423,2119045
780,2761206,2118899
785,2760360,2118269
790,2759353,2117430
795,2757700,2116258
800,2756750,2115464
805,2755490,2114510
810,2755134,2114339
815,2755206,2114418
820,2753879,2113414
825,2753393,2112900
830,2752248,2112037
835,2751790,2111705
840,2750770,2111014
845,2750269,2110571
850,2750711,2110856
855,2750793,2110787
860,2750651,2110850
865,2751145,2111101
870,2751001,2111086
875,2750974,2110936
880,2751170,2111091
885,2751317,2111076
890,2751902,2111624
895,2751365,2111156
900,2751494,2111423
905,2751087,2110984
910,2751200,2111092
915,2751004,2111032
920,2751283,2111125
925,2751572,2111298
930,2751278,2111233
935,2750147,2110167
940,2749044,2109404
945,2749052,2109499
950,2749551,2109697
955,2749119,2109589
960,2748219,2108776
965,2748099,2108567
970,2747184,2107878
975,2745985,2106971
980,2746130,2107170
985,2746039,2107052
990,2746682,2107435
