secs,pps,tps
0,3025367,2336820
5,3023008,2324988
10,2992857,2301668
15,2968082,2286723
20,2952865,2273473
25,2944724,2269468
30,2936149,2260700
35,2900099,2233295
40,2845693,2191583
45,2835821,2185565
50,2838537,2186292
55,2829589,2179609
60,2821417,2172724
65,2820625,2172567
70,2823346,2174630
75,2820135,2172730
80,2820233,2173514
85,2824767,2177096
90,2826535,2178010
95,2823775,2175799
100,2824416,2176532
105,2824998,2176752
110,2823303,2174801
115,2825394,2176790
120,2828210,2178657
125,2826947,2177643
130,2825262,2176917
135,2822562,2175129
140,2821547,2174286
145,2812343,2166565
150,2809550,2164903
155,2811161,2165789
160,2811707,2165970
165,2811502,2165781
170,2812821,2166677
175,2814392,2168231
180,2816305,2169944
185,2814781,2168554
190,2817389,2170369
195,2814298,2168203
200,2810556,2165360
205,2811274,2165568
210,2809277,2164459
215,2809944,2164494
220,2809539,2164162
225,2808531,2163795
230,2811447,2165601
235,2812735,2166580
240,2813015,2167047
245,2814829,2167965
250,2812743,2166405
255,2808296,2163207
260,2806121,2161320
265,2806505,2161542
270,2804723,2160500
275,2804483,2160239
280,2806196,2161376
285,2805925,2161097
290,2806033,2161504
295,2806765,2162109
300,2805960,2161309
305,2805562,2160775
310,2800865,2157293
315,2800482,2157190
320,2801081,2157284
325,2799679,2156592
330,2797645,2154562
335,2794467,2152096
340,2790818,2149601
345,2786441,2146110
350,2783046,2143612
355,2782460,2142780
360,2779683,2140718
365,2776187,2138007
370,2776105,2138025
375,2773644,2136028
380,2770233,2133598
385,2770081,2133302
390,2770588,2133643
395,2770028,2133162
400,2768975,2132425
405,2765683,2130033
410,2763176,2128244
415,2760299,2126008
420,2760563,2126047
425,2759854,2125298
430,2759428,2124926
435,2758743,2124356
440,2756509,2122883
445,2753147,2120240
450,2750120,2117712
455,2748030,2116056
460,2745349,2113979
465,2740952,2110680
470,2740932,2110590
475,2741506,2110996
480,2738398,2108555
485,2736671,2107418
490,2737123,2107563
495,2735085,2105919
500,2734866,2105944
505,2732618,2103977
510,2732102,2103606
515,2729118,2101296
520,2729806,2101888
525,2729540,2101647
530,2727695,2100249
535,2727326,2100084
540,2726755,2099609
545,2725652,2098754
550,2724477,2097872
555,2722676,2096476
560,2720811,2095059
565,2720030,2094306
570,2719307,2093973
575,2716945,2091972
580,2716040,2091184
585,2714922,2090373
590,2715053,2090445
595,2715087,2090552
600,2715578,2090847
605,2715092,2090470
610,2714869,2090324
615,2715137,2090661
620,2714593,2090158
625,2713989,2089664
630,2714189,2089894
635,2712057,2088062
640,2711343,2087610
645,2711863,2087883
650,2712404,2088327
655,2711739,2087786
660,2711574,2087631
665,2711666,2087800
670,2712573,2088549
675,2712422,2088335
680,2711774,2087784
685,2712373,2088270
690,2711614,2087847
695,2711624,2087641
700,2711821,2087840
705,2712132,2088219
710,2712420,2088324
715,2712631,2088440
720,2712418,2088274
725,2712450,2088411
730,2713426,2089074
735,2712583,2088555
740,2711298,2087604
745,2711423,2087590
750,2711924,2087910
755,2710736,2087164
760,2710567,2086967
765,2711239,2087398
770,2709632,2086346
775,2710045,2086516
780,2708949,2085766
785,2708041,2085034
790,2708336,2085239
795,2707903,2084923
800,2708830,2085617
805,2708410,2085312
810,2707510,2084595
815,2707157,2084461
820,2707018,2084213
825,2705323,2082900
830,2702940,2081056
835,2701508,2079987
840,2700708,2079425
845,2698893,2077942
850,2696673,2076263
855,2696962,2076505
860,2696797,2076432
865,2696206,2075921
870,2695957,2075859
875,2694215,2074434
880,2692929,2073474
885,2692220,2072906
890,2692729,2073261
895,2693059,2073514
900,2693484,2073950
905,2693793,2074096
910,2693514,2073824
915,2693656,2073915
920,2693898,2074101
925,2693684,2074022
930,2694210,2074288
935,2695015,2074978
940,2695423,2075170
945,2695220,2075048
950,2695635,2075420
955,2695760,2075464
960,2696445,2075925
965,2696386,2075981
970,2696708,2076211
975,2697219,2076538
980,2697758,2076971
985,2697864,2077102
990,2697641,2076896
